line,comu,muniname,munitype,county,recordid,permitno,status,permitdate,certdate,processdate,permittypedesc,constcost,salegained,rentgained,usegroup,block,lot,pk,update,classification,additive_to_municipal_total,public_treatment,aggregate_summary
2678283,9999,STATE BUILDINGS,STATEWIDE,STATE,10000250,93-0001,C,01/22/1993,01/26/1996,03/08/1996,New,28030001,0,0,B,26,1-9.03,999910000250,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,True
2678284,9999,STATE BUILDINGS,STATEWIDE,STATE,10000398,93-0141,P,03/26/1993,,07/08/1993,Alteration,228000,0,0,M,098,098,999910000398,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678285,9999,STATE BUILDINGS,STATEWIDE,STATE,10000404,93-0147,C,03/29/1993,06/15/1993,05/10/1995,Alteration,850,0,0,R-3,901,111,999910000404,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678286,9999,STATE BUILDINGS,STATEWIDE,STATE,10000443,93-0184,C,04/06/1993,11/30/1998,12/07/1998,Alteration,88000,0,0,S-1,010,010,999910000443,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678287,9999,STATE BUILDINGS,STATEWIDE,STATE,10000482,93-0216,C,04/26/1993,03/27/1995,05/10/1995,Alteration,1316000,0,0,U,002,002,999910000482,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678288,9999,STATE BUILDINGS,STATEWIDE,STATE,10000573,93-0338,C,05/28/1993,07/14/1994,05/10/1995,Alteration,4,0,0,U,9005,93,999910000573,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678289,9999,STATE BUILDINGS,STATEWIDE,STATE,10000574,93-0339,C,05/28/1993,01/06/1995,05/10/1995,Alteration,4,0,0,U,9006,93,999910000574,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678290,9999,STATE BUILDINGS,STATEWIDE,STATE,10000575,93-0340,C,05/28/1993,01/06/1995,05/10/1995,Alteration,4,0,0,U,9007,93,999910000575,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678291,9999,STATE BUILDINGS,STATEWIDE,STATE,10000576,93-0341,C,05/28/1993,07/14/1994,05/10/1995,Alteration,4,0,0,U,9008,93,999910000576,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678292,9999,STATE BUILDINGS,STATEWIDE,STATE,10000656,93-0373,C,06/25/1993,02/11/1998,03/09/1998,Alteration,44001,0,0,U,R9,R10,999910000656,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678293,9999,STATE BUILDINGS,STATEWIDE,STATE,10000997,15-7205,C,10/16/2015,07/11/2016,08/08/2016,New,620176,0,0,M,N/A,N/A,999910000997,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678294,9999,STATE BUILDINGS,STATEWIDE,STATE,10001102,16-7030,P,03/11/2016,,04/07/2016,Alteration,1800,0,0,U,75,45,999910001102,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678295,9999,STATE BUILDINGS,STATEWIDE,STATE,10014723,05-0269,C,02/05/2007,03/31/2022,04/07/2022,New,41400001,0,0,M,XANADU,BLDGD&E,999910014723,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,True
2678296,9999,STATE BUILDINGS,STATEWIDE,STATE,10022278,13-0115,C,02/21/2013,02/17/2022,04/07/2022,Alteration,2,0,0,U,NJTA,N/A,999910022278,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678297,9999,STATE BUILDINGS,STATEWIDE,STATE,10022282,13-0119,C,02/22/2013,02/17/2022,04/07/2022,New,5451700,0,0,U,NJTPA,9184-12,999910022282,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678298,9999,STATE BUILDINGS,STATEWIDE,STATE,10022370,13-0185,C,03/26/2013,02/17/2022,04/07/2022,Alteration,2000,0,0,U,NJDOT,N/A,999910022370,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678299,9999,STATE BUILDINGS,STATEWIDE,STATE,10022394,13-0208,C,04/05/2013,02/17/2022,04/07/2022,Alteration,12750,0,0,U,NJTPA,9184-12,999910022394,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678300,9999,STATE BUILDINGS,STATEWIDE,STATE,10022395,13-0209,C,04/05/2013,02/17/2022,04/07/2022,Alteration,6100,0,0,U,NJTPA,N/A,999910022395,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678301,9999,STATE BUILDINGS,STATEWIDE,STATE,10022396,13-0210,C,04/05/2013,02/17/2022,04/07/2022,Alteration,13350,0,0,U,NJTPA,9184-12,999910022396,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678302,9999,STATE BUILDINGS,STATEWIDE,STATE,10022425,13-0232,C,04/22/2013,03/03/2022,04/07/2022,Alteration,15000,0,0,U,NJSEA,N/A,999910022425,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678303,9999,STATE BUILDINGS,STATEWIDE,STATE,10022440,13-0242,C,04/25/2013,03/03/2022,04/07/2022,Alteration,265000,0,0,U,MCBF,N/A,999910022440,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678304,9999,STATE BUILDINGS,STATEWIDE,STATE,10022514,13-0304,C,05/14/2013,02/17/2022,04/07/2022,Alteration,2300,0,0,U,NJTA,N/A,999910022514,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678305,9999,STATE BUILDINGS,STATEWIDE,STATE,10022605,13-0371,C,06/13/2013,03/03/2022,04/07/2022,New,110000,0,0,B,SJTA,9091-13,999910022605,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678306,9999,STATE BUILDINGS,STATEWIDE,STATE,10024727,15-0097,C,02/23/2015,01/09/2025,02/07/2025,Alteration,35875,0,0,U,NJT,9201-14,999910024727,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678307,9999,STATE BUILDINGS,STATEWIDE,STATE,10024920,15-0246,C,04/08/2015,03/31/2022,04/07/2022,New,125718925,0,0,M,AD,9504-14,999910024920,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,True
2678308,9999,STATE BUILDINGS,STATEWIDE,STATE,10025639,15-0771,C,11/17/2015,03/31/2022,04/07/2022,New,8561604,0,0,M,AD,9506-15,999910025639,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678309,9999,STATE BUILDINGS,STATEWIDE,STATE,10025769,16-0018,C,01/12/2016,09/20/2022,10/07/2022,Alteration,32500,0,0,U,NJWSA,9129-15,999910025769,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678310,9999,STATE BUILDINGS,STATEWIDE,STATE,10025835,16-0069,C,02/25/2016,09/20/2022,10/07/2022,Alteration,515,0,0,U,NJSP,N/A,999910025835,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678311,9999,STATE BUILDINGS,STATEWIDE,STATE,10026542,05-0269-1+Y,P,08/24/2021,,09/07/2021,Addition,105000,0,0,M,107.02,01,999910026542,X,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678312,9999,STATE BUILDINGS,STATEWIDE,STATE,10026543,05-0269-1+Z,P,08/27/2021,,09/07/2021,Addition,222000,0,0,M,107.02,01,999910026543,X,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678313,9999,STATE BUILDINGS,STATEWIDE,STATE,10026544,13-0314-1,P,02/07/2022,,02/07/2022,Alteration,7000,0,0,M,ADM,9501-13,999910026544,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678314,9999,STATE BUILDINGS,STATEWIDE,STATE,10026545,05-0380-1+T,P,03/08/2024,,04/08/2024,Alteration,1,0,0,M,107.02,1.01,999910026545,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678315,9999,STATE BUILDINGS,STATEWIDE,STATE,10026546,05-0380-1+U,P,06/05/2024,,06/07/2024,Alteration,53000,0,0,M,107.02,1.01,999910026546,X,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678316,9999,STATE BUILDINGS,STATEWIDE,STATE,89000021,8902100026,C,02/10/1989,08/08/1989,03/07/1990,Alteration,24995,0,0,A-5,1,1,999989000021,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678317,9999,STATE BUILDINGS,STATEWIDE,STATE,89000149,8908090166,C,08/09/1989,06/10/1991,08/13/1991,Alteration,107300,0,0,U,1,1,999989000149,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678318,9999,STATE BUILDINGS,STATEWIDE,STATE,89000298,9004030054,P,04/03/1990,,05/07/1990,Alteration,72800,0,0,S-2,1,1,999989000298,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678319,9999,STATE BUILDINGS,STATEWIDE,STATE,89000511,9101040004,P,01/04/1991,,02/08/1991,Alteration,10000,0,0,U,1,1,999989000511,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678320,9999,STATE BUILDINGS,STATEWIDE,STATE,89000650,9105070149,C,05/07/1991,01/07/1992,04/07/1992,Demolition,5000,0,0,U,1,1,999989000650,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678321,9999,STATE BUILDINGS,STATEWIDE,STATE,89000651,9105070150,P,05/07/1991,,06/11/1991,Demolition,5000,0,0,U,1,1,999989000651,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678322,9999,STATE BUILDINGS,STATEWIDE,STATE,89000671,9105170170,P,05/17/1991,,06/11/1991,Demolition,24650,0,0,U,388,1,999989000671,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678323,9999,STATE BUILDINGS,STATEWIDE,STATE,89000682,9105280182,P,05/28/1991,,06/11/1991,Demolition,5000,0,0,U,1,1,999989000682,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678324,9999,STATE BUILDINGS,STATEWIDE,STATE,89000685,9105290185,C,05/29/1991,01/07/1992,04/07/1992,Demolition,5000,0,0,U,1,1,999989000685,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
2678325,9999,STATE BUILDINGS,STATEWIDE,STATE,89000693,9106120193,C,06/12/1991,01/07/1992,04/07/1992,Demolition,2500,0,0,U,1,1,999989000693,,STATE_AGENCY_OR_STATEWIDE_RECORD,False,Preserve separately as STATE_LEVEL. Do not add to municipality-derived statewide total until independently confirmed additive.,False
