field,description,possible_values
project_id,"A unique number assigned to a project for tracking and processing purposes. The project is reviewed as a single entity. It represents a pass from inception to decision and inspection to entitlement. A project is a manageable scope of work for which we
can create a schedule and budget. A project belongs to one development and contains one or more approvals.",
project_type,"An attribute of a project that reflects the scope of the customer’s work. The scope falls into one of two — ministerial or discretion. Ministerial projects allow the customer to construct, build or demolish, under the defined construction and inspection plan.Discretionary projects require a more complex administrative and/or political process to gain approval. Project type is defined when a project is first set up in the project tracking system.",
project_processing_code,"A processing code specifies the priority of the project — Standard, Expedite and Express.",
date_project_create,Calendar date when the Project is created in the Project Tracking System.,
date_project_complete,The legal date at which submittal requirements are deemed to be met.,
project_title,Short description of the Project,
project_scope,General description of the Project,
address_job,Location on or along a road where work will take place such as new construction.,
job_apn,Assessor's Parcel Number (APN). Used to assign a unique ID to a parcel of land (A plot or portion of land with fixed boundaries).,
lat_job,Primary Job Location Latitude,
lng_job,Primary Job Location Longitude,
approval_id,"Unique number -  A permit or entitlement that gives a customer the right to go forward on a project. Discretionary approvals create an entitlement to later gain ministerial permits or accomplish other defined scopes. Ministerial approvals allow the customer to construct, build or demolist, under the defined construction and inspection plan,",
approval_type,"Type of Approval, e.g. Building Permit is a special type of permit issued by an official to authorize the construction or demolition of a building.",
approval_status,"The status of an approval indicating if it is active or inactive (expired). Approval status types include: ""Created"": Approval was created, but no other activities occurred. ""Pending Invoice Payment"": Invoice was created, but not paid.""Issued"": City granted permission to proceed on a project.""Completed"": Inspections took place, but no more work can occur on the approval.",
approval_scope,Description of permit scope of work.,
date_approval_create,The calendar date when an approval/permit is added to the Permit System.,
date_approval_issue,Calendar date indicating when an approval/permit was issued.,
date_approval_expire,Calendar date when an approval/permit will be expired.,
date_approval_close,The calendar date when an approval/permit expires or when final inspection is approved on an approval/permit,
approval_permit_holder,Contact name whom the Approval is issued to.,
bid_name,"Name of Business Improvement District the primary job latitude and longitude falls within, if any.",
