Name,Attention,Address 1,Address 2,City,State,Zip Code,Phone,Credential,Licensee Type,First Issued Date,Expiration Date,License Status,Status Reason,Supervisor License,Supervisor Name,Supervision Type,Supervisor License Status,Supervisor Expiration,
VECTOR SECURITY INC,,50 E. MAIN ST.,,GENEVA,OH,44041,(440)466-7233,50.04.0004,Fire Protection Organization - Branch Office,06/12/2012,07/01/2027,Active,ACTIVE,53.50.1081,VECTOR SECURITY INC DBA VECTOR SECURITY NETWORKS,Branch Company to Company,ACTIVE,07/01/2027,
LIBERTY FIRE PROTECTION SERVICE LLC DBA 1ST CHOICE FIRE,,636 S ZANE HWY,,MARTINS FERRY,OH,43935-1275,(301) 591-4210,50.07.0001,Fire Protection Organization - Branch Office,12/22/2025,07/01/2027,Active,ACTIVE,53.89.2101,LIBERTY FIRE PROTECTION SERVICES LLC,Branch Company to Company,ACTIVE,07/01/2027,
SA COMUNALE CO INC,,4755 INTERSTATE DR,,WEST CHESTER,OH,45246-1111,(513)874-4268,50.09.1064,Fire Protection Organization - Branch Office,03/09/1995,07/01/2027,Active,ACTIVE,53.77.1016,SA COMUNALE,Branch Company to Company,ACTIVE,07/01/2027,
GA BUSINESS PURCHASER LLC DBA GUARDIAN ALARM,C T CORPORATION,140 GRAND ST STE 300,,WHITE PLAINS,NY,10601-4840,,50.09.1068,Fire Protection Organization - Branch Office,09/20/2024,07/01/2027,Active,ACTIVE,53.48.1002,GUARDIAN ALARM COMPANY,Branch Company to Company,ACTIVE,07/01/2027,
AIRTRON LLC,,5100 RIALTO RD,,WEST CHESTER,OH,45069-2923,(614) 324-9972,50.09.1069,Fire Protection Organization - Branch Office,01/31/2025,07/01/2027,Active,ACTIVE,53.25.4055,AIRTRON LLC,Branch Company to Company,ACTIVE,07/01/2027,
FIRE PROTECTION PROS LLC,,75 SMALLEY BLVD,,HAMILTON,OH,45013-6235,(616) 588-0742,50.09.1070,Fire Protection Organization - Branch Office,06/10/2025,07/01/2027,Active,ACTIVE,53.89.1887,FIRE PROTECTION PROS LLC,Branch Company to Company,ACTIVE,07/01/2027,
EVERON LLC,,9466 MERIDIAN WAY BLDG 1,,WEST CHESTER,OH,45069-6527,(213) 392-9333,50.09.1071,Fire Protection Organization - Branch Office,06/16/2025,07/01/2027,Active,ACTIVE,53.89.1925,EVERON LLC,Branch Company to Company,ACTIVE,07/01/2027,
JOHNSON CONTROLS BUILDING SOLUTIONS LLC,LICENSING DEPT,PO Box 3042,,Boca Raton,FL,33431-0942,(561) 341-7357,50.09.1072,Fire Protection Organization - Branch Office,05/28/2026,07/01/2027,Active,ACTIVE,53.48.1231,JOHNSON CONTROLS BUILDING SOLUTIIONS LLC,Branch Company to Company,ACTIVE,07/01/2027,
KOORSEN FIRE & SECURITY,,8090 N DIXIE DR,,DAYTON,OH,45414-2724,(937)660-7050,50.12.0001,Fire Protection Organization - Branch Office,06/04/2007,07/01/2027,Active,ACTIVE,53.89.1036,KOORSEN FIRE & SECURITY,Branch Company to Company,ACTIVE,07/01/2027,
FIRE PROTECTION PROS LLC DBA ELITE FIRE SERVICES,,611 W MAIN ST,,BLANCHESTER,OH,45107-1141,(301) 591-4210,50.14.0001,Fire Protection Organization - Branch Office,01/05/2026,07/01/2027,Active,ACTIVE,53.89.1887,FIRE PROTECTION PROS LLC,Branch Company to Company,ACTIVE,07/01/2027,
CINTAS CORPORATION #2,,4350 RENAISSANCE PKWY STE F,,CLEVELAND,OH,44128-5786,(440) 746-7718,50.18.0015,Fire Protection Organization - Branch Office,02/05/2009,07/01/2027,Active,ACTIVE,53.31.1094,CINTAS CORPORATION #2,Branch Company to Company,ACTIVE,07/01/2027,
ADT LLC - CLEVELAND BRANCH,LICENSING DEPT,PO BOX 310702,,BOCA RATON,FL,33431-0702,(561) 988-3681,50.18.0018,Fire Protection Organization - Branch Office,03/15/2012,07/01/2027,Active,ACTIVE,53.89.1726,ADT LLC DBA PROTECTION ONE,Branch Company to Company,ACTIVE,07/01/2027,
SA COMUNALE,,135 ALPHA PARK,,HIGHLAND HTS,OH,44143-2224,(216)426-0856,50.18.1030,Fire Protection Organization - Branch Office,09/05/1991,07/01/2027,Active,ACTIVE,53.77.1016,SA COMUNALE,Branch Company to Company,ACTIVE,07/01/2027,
JOHNSON CONTROLS SECURITY SOLUTIONS LLC,,6650 WEST SNOWVILLE RD. STE K&L,,BRECKSVILLE,OH,44141,(216) 526-0450,50.18.1052,Fire Protection Organization - Branch Office,08/07/1991,07/01/2027,Active,ACTIVE,53.31.1582,JOHNSON CONTROLS SECURITY SOLUTIONS LLC,Branch Company to Company,ACTIVE,07/01/2027,
