#,License No,Business Name,Doing Business As,Class,Class Detail,Class Type,Address,City,State,Zip,Qualifying Party,Issued Date,Expiration Date,Status
1,002386,Phoenix Tent and Awning Company,,CR-3,CR-3 Awnings Canopies Carports and Patio Covers,Specialty Dual,2829 E. McDowell Rd.,Phoenix,AZ,85008,QP Exempt,1933-07-01,2027-06-30,Active
2,016349,American Fence Company Of Arizona Inc,,CR-14,CR-14 Fencing,Specialty Dual,2502 N. 27th Avenue,Phoenix,AZ,85009,QP Exempt,1954-09-07,2027-08-31,Active
3,016899,Copper King Electric Co Inc,,R-11,R-11 Electrical,Specialty Residential,4325 East Vista Drive,Phoenix,AZ,85032,QP Exempt,1955-04-12,2028-03-31,Active
4,017842,Custom Roofing Co Inc,,CR-42,CR-42 Roofing,Specialty Dual,320 S 40th place,Phoenix,AZ,85034,William Dean Hill,1956-07-02,2028-06-30,Active
5,019133,Chas Roberts Air Conditioning Inc,,R-39R,R-39R Air Conditioning and Refrigeration,Specialty Residential,9828 N 19TH AVE,PHOENIX,AZ,85021-1906,Roberta Rae Shank,1957-12-03,2026-12-31,Active
6,020039,Rincon Air Conditioning and Heating Co Inc,,R-39R,R-39R Air Conditioning and Refrigeration,Specialty Residential,4810 E Speedway Blvd,Tucson,AZ,85712,Neil Allen Chamberlain,1958-09-26,2027-08-31,Active
7,020095,Southern Arizona York Contracting Company,Sayco Heating and Air Conditioning,R-39R,R-39R Air Conditioning and Refrigeration,Specialty Residential,350 E. Prince Rd.,Tucson,AZ,85705,Anthony Karl Sanchez,1958-10-28,2028-09-30,Active
8,021038,Safford Builders Supply Co,,B,B General Residential Contractor,General Residential,707 S 6th Ave,Safford,AZ,85546,QP Exempt,1959-08-17,2028-07-31,Active
11,023057,Hunter Contracting Co,,B-4,B-4 General Residential Engineering Contractor,General Residential,701 N. Cooper Road,Gilbert,AZ,85233,QP Exempt,1961-03-10,2028-02-29,Active
12,023531,Harper's Nursery and Landscape Co,Cornerstone Irrigation Repair,CR-21,CR-21 Hardscaping and Irrigation Systems,Specialty Dual,6313 E Hodges Street,Cave Creek,AZ,85331,John Jay Harper,1961-07-28,2027-06-30,Active
14,024881,Chirco Construction Co Inc,,B,B General Residential Contractor,General Residential,3242 S Richey Ave,Tucson,AZ,85713,QP Exempt,1962-09-17,2026-08-31,Active
