source_system,source_board,external_key,occupation_code,occupation_description,license_number,class_code,licensee_name_raw,dba_name_raw,primary_status,secondary_status,status_normalized,original_licensure_date,effective_date,expiration_date,address_line_1,address_line_2,address_line_3,city,state,postal_code,county_code,county_name,board_number,raw_payload_json
az_roc,ROC,AZ-ROC:002386,CR-3,CR-3 Awnings Canopies Carports and Patio Covers,002386,CR-3,Phoenix Tent and Awning Company,,Active,Specialty Dual · Category: Dual · QP: QP Exempt,active,1933-07-01,,2027-06-30,2829 E. McDowell Rd.,,,Phoenix,AZ,85008,,,ROC,"{""#"": ""1"", ""License No"": ""002386"", ""Business Name"": ""Phoenix Tent and Awning Company"", ""Class"": ""CR-3"", ""Class Detail"": ""CR-3 Awnings Canopies Carports and Patio Covers"", ""Class Type"": ""Specialty Dual"", ""Address"": ""2829 E. McDowell Rd."", ""City"": ""Phoenix"", ""State"": ""AZ"", ""Zip"": ""85008"", ""Qualifying Party"": ""QP Exempt"", ""Issued Date"": ""1933-07-01"", ""Expiration Date"": ""2027-06-30"", ""Status"": ""Active"", ""_source_file"": ""ROC_Posting-List_2026-08-13.csv"", ""_category"": ""Dual""}"
az_roc,ROC,AZ-ROC:016349,CR-14,CR-14 Fencing,016349,CR-14,American Fence Company Of Arizona Inc,,Active,Specialty Dual · Category: Dual · QP: QP Exempt,active,1954-09-07,,2027-08-31,2502 N. 27th Avenue,,,Phoenix,AZ,85009,,,ROC,"{""#"": ""2"", ""License No"": ""016349"", ""Business Name"": ""American Fence Company Of Arizona Inc"", ""Class"": ""CR-14"", ""Class Detail"": ""CR-14 Fencing"", ""Class Type"": ""Specialty Dual"", ""Address"": ""2502 N. 27th Avenue"", ""City"": ""Phoenix"", ""State"": ""AZ"", ""Zip"": ""85009"", ""Qualifying Party"": ""QP Exempt"", ""Issued Date"": ""1954-09-07"", ""Expiration Date"": ""2027-08-31"", ""Status"": ""Active"", ""_source_file"": ""ROC_Posting-List_2026-08-13.csv"", ""_category"": ""Dual""}"
az_roc,ROC,AZ-ROC:016899,R-11,R-11 Electrical,016899,R-11,Copper King Electric Co Inc,,Active,Specialty Residential · Category: Residential · QP: QP Exempt,active,1955-04-12,,2028-03-31,4325 East Vista Drive,,,Phoenix,AZ,85032,,,ROC,"{""#"": ""3"", ""License No"": ""016899"", ""Business Name"": ""Copper King Electric Co Inc"", ""Class"": ""R-11"", ""Class Detail"": ""R-11 Electrical"", ""Class Type"": ""Specialty Residential"", ""Address"": ""4325 East Vista Drive"", ""City"": ""Phoenix"", ""State"": ""AZ"", ""Zip"": ""85032"", ""Qualifying Party"": ""QP Exempt"", ""Issued Date"": ""1955-04-12"", ""Expiration Date"": ""2028-03-31"", ""Status"": ""Active"", ""_source_file"": ""ROC_Posting-List_2026-08-13.csv"", ""_category"": ""Residential""}"
az_roc,ROC,AZ-ROC:017842,CR-42,CR-42 Roofing,017842,CR-42,Custom Roofing Co Inc,,Active,Specialty Dual · Category: Dual · QP: William Dean Hill,active,1956-07-02,,2028-06-30,320 S 40th place,,,Phoenix,AZ,85034,,,ROC,"{""#"": ""4"", ""License No"": ""017842"", ""Business Name"": ""Custom Roofing Co Inc"", ""Class"": ""CR-42"", ""Class Detail"": ""CR-42 Roofing"", ""Class Type"": ""Specialty Dual"", ""Address"": ""320 S 40th place"", ""City"": ""Phoenix"", ""State"": ""AZ"", ""Zip"": ""85034"", ""Qualifying Party"": ""William Dean Hill"", ""Issued Date"": ""1956-07-02"", ""Expiration Date"": ""2028-06-30"", ""Status"": ""Active"", ""_source_file"": ""ROC_Posting-List_2026-08-13.csv"", ""_category"": ""Dual""}"
az_roc,ROC,AZ-ROC:019133,R-39R,R-39R Air Conditioning and Refrigeration,019133,R-39R,Chas Roberts Air Conditioning Inc,,Active,Specialty Residential · Category: Residential · QP: Roberta Rae Shank,active,1957-12-03,,2026-12-31,9828 N 19TH AVE,,,PHOENIX,AZ,85021-1906,,,ROC,"{""#"": ""5"", ""License No"": ""019133"", ""Business Name"": ""Chas Roberts Air Conditioning Inc"", ""Class"": ""R-39R"", ""Class Detail"": ""R-39R Air Conditioning and Refrigeration"", ""Class Type"": ""Specialty Residential"", ""Address"": ""9828 N 19TH AVE"", ""City"": ""PHOENIX"", ""State"": ""AZ"", ""Zip"": ""85021-1906"", ""Qualifying Party"": ""Roberta Rae Shank"", ""Issued Date"": ""1957-12-03"", ""Expiration Date"": ""2026-12-31"", ""Status"": ""Active"", ""_source_file"": ""ROC_Posting-List_2026-08-13.csv"", ""_category"": ""Residential""}"
az_roc,ROC,AZ-ROC:020039,R-39R,R-39R Air Conditioning and Refrigeration,020039,R-39R,Rincon Air Conditioning and Heating Co Inc,,Active,Specialty Residential · Category: Residential · QP: Neil Allen Chamberlain,active,1958-09-26,,2027-08-31,4810 E Speedway Blvd,,,Tucson,AZ,85712,,,ROC,"{""#"": ""6"", ""License No"": ""020039"", ""Business Name"": ""Rincon Air Conditioning and Heating Co Inc"", ""Class"": ""R-39R"", ""Class Detail"": ""R-39R Air Conditioning and Refrigeration"", ""Class Type"": ""Specialty Residential"", ""Address"": ""4810 E Speedway Blvd"", ""City"": ""Tucson"", ""State"": ""AZ"", ""Zip"": ""85712"", ""Qualifying Party"": ""Neil Allen Chamberlain"", ""Issued Date"": ""1958-09-26"", ""Expiration Date"": ""2027-08-31"", ""Status"": ""Active"", ""_source_file"": ""ROC_Posting-List_2026-08-13.csv"", ""_category"": ""Residential""}"
az_roc,ROC,AZ-ROC:020095,R-39R,R-39R Air Conditioning and Refrigeration,020095,R-39R,Southern Arizona York Contracting Company,Sayco Heating and Air Conditioning,Active,Specialty Residential · Category: Residential · QP: Anthony Karl Sanchez,active,1958-10-28,,2028-09-30,350 E. Prince Rd.,,,Tucson,AZ,85705,,,ROC,"{""#"": ""7"", ""License No"": ""020095"", ""Business Name"": ""Southern Arizona York Contracting Company"", ""Doing Business As"": ""Sayco Heating and Air Conditioning"", ""Class"": ""R-39R"", ""Class Detail"": ""R-39R Air Conditioning and Refrigeration"", ""Class Type"": ""Specialty Residential"", ""Address"": ""350 E. Prince Rd."", ""City"": ""Tucson"", ""State"": ""AZ"", ""Zip"": ""85705"", ""Qualifying Party"": ""Anthony Karl Sanchez"", ""Issued Date"": ""1958-10-28"", ""Expiration Date"": ""2028-09-30"", ""Status"": ""Active"", ""_source_file"": ""ROC_Posting-List_2026-08-13.csv"", ""_category"": ""Residential""}"
az_roc,ROC,AZ-ROC:021038,B,B General Residential Contractor,021038,B,Safford Builders Supply Co,,Active,General Residential · Category: Residential · QP: QP Exempt,active,1959-08-17,,2028-07-31,707 S 6th Ave,,,Safford,AZ,85546,,,ROC,"{""#"": ""8"", ""License No"": ""021038"", ""Business Name"": ""Safford Builders Supply Co"", ""Class"": ""B"", ""Class Detail"": ""B General Residential Contractor"", ""Class Type"": ""General Residential"", ""Address"": ""707 S 6th Ave"", ""City"": ""Safford"", ""State"": ""AZ"", ""Zip"": ""85546"", ""Qualifying Party"": ""QP Exempt"", ""Issued Date"": ""1959-08-17"", ""Expiration Date"": ""2028-07-31"", ""Status"": ""Active"", ""_source_file"": ""ROC_Posting-List_2026-08-13.csv"", ""_category"": ""Residential""}"
az_roc,ROC,AZ-ROC:021039,R-11,R-11 Electrical,021039,R-11,Safford Builders Supply Co,,Active,Specialty Residential · Category: Residential · QP: QP Exempt,active,1959-08-17,,2028-07-31,707 S 6th Ave,,,Safford,AZ,85546,,,ROC,"{""#"": ""9"", ""License No"": ""021039"", ""Business Name"": ""Safford Builders Supply Co"", ""Class"": ""R-11"", ""Class Detail"": ""R-11 Electrical"", ""Class Type"": ""Specialty Residential"", ""Address"": ""707 S 6th Ave"", ""City"": ""Safford"", ""State"": ""AZ"", ""Zip"": ""85546"", ""Qualifying Party"": ""QP Exempt"", ""Issued Date"": ""1959-08-17"", ""Expiration Date"": ""2028-07-31"", ""Status"": ""Active"", ""_source_file"": ""ROC_Posting-List_2026-08-13.csv"", ""_category"": ""Residential""}"
az_roc,ROC,AZ-ROC:022528,R-11,R-11 Electrical,022528,R-11,Shields Electric Company Inc.,,Active,Specialty Residential · Category: Residential · QP: Walter Steven Donn,active,1960-09-27,,2027-08-31,2140 E 5th Street Suite 10,,,Tempe,AZ,85288,,,ROC,"{""#"": ""10"", ""License No"": ""022528"", ""Business Name"": ""Shields Electric Company Inc."", ""Class"": ""R-11"", ""Class Detail"": ""R-11 Electrical"", ""Class Type"": ""Specialty Residential"", ""Address"": ""2140 E 5th Street Suite 10"", ""City"": ""Tempe"", ""State"": ""AZ"", ""Zip"": ""85288"", ""Qualifying Party"": ""Walter Steven Donn"", ""Issued Date"": ""1960-09-27"", ""Expiration Date"": ""2027-08-31"", ""Status"": ""Active"", ""_source_file"": ""ROC_Posting-List_2026-08-13.csv"", ""_category"": ""Residential""}"
