ContractorType,CompanyName,LicenseNumber,Status,Address,City,State,Zip,Phone,ClassCode,Qualifier
Commercial,"DENTS HEATING & COOLINGS LLC",23096-MC,Licensed,250 HIGHPOINT DRIVE,RIDGELAND,MS,39157,318-616-5161,,
Commercial,"KEYSTONE CONTRACTORS LLC",23364-MC,Licensed Expired,510 NORTH STREET,BRANDON,MS,39042,601-506-5410,,
Commercial,"MICHAEL BOX CONSTRUCTION LLC",23317-MC,Licensed,875 EAST SHERWOOD OCL RD,MATHISTON,MS,39752,662-285-7952,,
Commercial,"BRADANNA, INC.",17543-MC,Licensed Expired,2805 HORSESHOE DR,,,MS,,,
Residential,"ROBERSON, TIMOTHY W.",05203,Licensed Expired,1207 MYRTLE STREET,GREENWOOD,MS,38930,(662)455-4804,,
Residential,"THIGPEN HOME BUILDERS",03052,Licensed,102 TREY THIGPEN ROAD,,,MS,,,
Commercial,"GENERAL CONTRACTORS, INC.",08861-MC,Licensed Expired,,,,,MS,,,
Commercial,"ENGINEERING & CONSTRUCTION, INC.",01558-MC,Licensed,,,,,MS,,,
Commercial,"CONSTRUCTORS & ENGINEERS",06900-MC,Licensed,,,,,MS,,,
,"AEL'S CONTRACTING & SERVICE, LLC",12161,Licensed,,,,,MS,,,
,"BILLY PAPE PLUMBING, INC.",10683,Licensed,565 PORT GIBSON STREET,RAYMOND,MS,39154,(601)857-2105,,
Commercial,"DERBY HOMES",16945-MC,Licensed,,,,,MS,,,
Commercial,"R.F. KNOX",26533-SC,Licensed,,,,,MS,,,
Commercial,"BRADFORD BUILDING",12836-MC,Licensed,,,,,MS,,,
,"BRADFORD ELECTRIC",21734,Licensed,,,,,MS,,,
,"BUILDING BETTER LLC",18716,Licensed,,,,,MS,,,
Residential,"DANIEL NICHOLSON",19556,Licensed,,,,,MS,,,
Commercial,"THIGPEN CONSTRUCTION",20595-MC,Licensed,,,,,MS,,,
Residential,"CARSON CARL",04228,Licensed,,Vicksburg,MS,,,
Residential,"BBB CONSTRUCTION",22458,Licensed,,Laurel,MS,,,
,"SHANKS ELECTRIC",20061,Licensed,,Florence,MS,,,
Residential,"MANUEL'S REMODELING",01260,Licensed,,,,,MS,,,
