businessname,contractorlicensenumber,contractorlicensetypecode,contractorlicensetypecodedesc,address1,address2,city,state,zip,phonenumber,licenseeffectivedate,licenseexpirationdate,businesstypecode,businesstypecodedesc,specialtycode1,specialtycode1desc,specialtycode2,specialtycode2desc,ubi,primaryprincipalname,statuscode,contractorlicensestatus,contractorlicensesuspenddate
04 CONSTRUCTION LLC,04CONCL862CR,CC,CONSTRUCTION CONTRACTOR,1900 Ne 3rd St Ste 106,PMB219,BEND,OR,97701,5414102249,2014-02-19T00:00:00.000,2028-03-03T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,603320569,"Ochoa, Eric James",A,ACTIVE,
1002 COATINGS & CONST LLC,1002CCC811LR,CC,CONSTRUCTION CONTRACTOR,PO BOX 1445,,SUMNER,WA,98390,2536781806,2019-06-19T00:00:00.000,2027-07-19T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,604411571,"BYRAN, JUSTIN DAVID",A,ACTIVE,
$100 OVER COST PAINTING CO LLC,100OVOC791LN,CC,CONSTRUCTION CONTRACTOR,1604 E Rich Ave,,SPOKANE,WA,99207,5095989842,2021-06-15T00:00:00.000,2023-06-15T00:00:00.000,L,Limited Liability Company,CB,PAINTING/WALLCOVERING,,,604761230,"Campbell, Travis Alan",E,EXPIRED,2022-07-11T00:00:00.000
100% PAINTING LLC,100PAPL797L3,CC,CONSTRUCTION CONTRACTOR,PO BOX 356,,TENINO,WA,98589,3608784206,2021-08-19T00:00:00.000,2023-08-19T00:00:00.000,L,Limited Liability Company,CB,PAINTING/WALLCOVERING,,,604659793,"JUSTUS, ROBERT CHARLES",E,EXPIRED,2022-06-28T00:00:00.000
100PLUS REMODELING LLC,100PLRL754Q5,CC,CONSTRUCTION CONTRACTOR,827 HIAWATHA PL S,APT 217,SEATTLE,WA,98144,4252299790,2026-01-13T00:00:00.000,2028-01-13T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,605631666,"HUI, WESLEY JM",A,ACTIVE,
100 PROOF DRYWALL LLC,100PRPD823OR,CC,CONSTRUCTION CONTRACTOR,PO BOX 86,,SOUTHWORTH,WA,98386,3603173229,2018-09-19T00:00:00.000,2026-09-19T00:00:00.000,L,Limited Liability Company,BK,DRY WALL,,,604312899,"LINDAL, JAMES WALLACE",A,ACTIVE,
101 CONSTRUCTION LLC,101COCL799M6,CC,CONSTRUCTION CONTRACTOR,800 5TH Ave STE 101-800,,SEATTLE,WA,98104,2069994661,2021-08-02T00:00:00.000,2025-08-28T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,604784212,"TODOROVICH, BABA MADELINE",E,EXPIRED,2024-03-28T00:00:00.000
101 GENERAL CONTRACTING LLC,101GEGC810PH,CC,CONSTRUCTION CONTRACTOR,55 Cypress Circle,,Port Angeles,WA,98362,3604776460,2019-10-08T00:00:00.000,2027-10-16T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,604524842,"BARNETT, KIMBERLY MARIE",A,ACTIVE,
101 MOBILITY,101MOM*823B5,CC,CONSTRUCTION CONTRACTOR,6265 40TH ST E,,TACOMA,WA,98424,2065966926,2018-01-25T00:00:00.000,2020-01-25T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,604210313,"BALUCH, SCOTT A",O,OUT OF BUSINESS,
101 Pest Control LLC,101PEPC881MZ,CC,CONSTRUCTION CONTRACTOR,P O BOX 548,,CARLSBORG,WA,98324,3606703085,2012-07-09T00:00:00.000,2028-07-09T00:00:00.000,L,Limited Liability Company,SZ,Structural Pest Control,,,603217463,"Mason, John R",A,ACTIVE,
101 ROOF CLEANING,101RORC762CZ,CC,CONSTRUCTION CONTRACTOR,109 SOUTHWESTERN PL,,SEQUIM,WA,98382,3605313321,2024-02-09T00:00:00.000,2026-02-09T00:00:00.000,I,Individual,01,GENERAL,,,605083245,"MUZZY, TERESA ARECHAVALETA",E,EXPIRED,2026-02-07T00:00:00.000
1040WINDOWREMODELING L L C,1040WLL806MG,CC,CONSTRUCTION CONTRACTOR,1322 W Pendulum Cove Dr,,Kuna,ID,83634,9717775107,2020-07-07T00:00:00.000,2027-12-19T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,604478977,"MARTINS, JONATHAS SILVA",A,ACTIVE,
10 DAY KITCHENS,10DAYDK757O5,CC,CONSTRUCTION CONTRACTOR,1581 N NATIONAL AVE,,CHEHALIS,WA,98532,3603451015,2025-08-26T00:00:00.000,2027-08-26T00:00:00.000,C,Corporation,01,GENERAL,,,602373112,"GODFREY, KEVIN K",A,ACTIVE,
10TH CASTLE LLC,10THCCL851D7,CC,CONSTRUCTION CONTRACTOR,4316 NW 121st Cir,,VANCOUVER,WA,98685,5038600598,2015-03-27T00:00:00.000,2027-04-02T00:00:00.000,L,Limited Liability Company,01,GENERAL,,,603488046,"MARTINEZ, FRANCISCO GUADALUPE",S,SUSPENDED,2026-05-16T00:00:00.000
10X20 PERFORMANCE FBRCTN LLC,10X20PF785PO,CC,CONSTRUCTION CONTRACTOR,502 E VINEYARD DR,Suite A,PASCO,WA,99301,5096192024,2022-10-20T00:00:00.000,2027-03-03T00:00:00.000,L,Limited Liability Company,CG,METAL FABRICATION,,,604699221,"BREIER, JORDAN MICHAEL",S,SUSPENDED,2025-07-26T00:00:00.000
10XR,10XR***780N5,CC,CONSTRUCTION CONTRACTOR,3106 NE 108TH CIR,,VANCOUVER,WA,98686,5642086594,2022-08-25T00:00:00.000,2024-08-25T00:00:00.000,L,Limited Liability Company,SI,"Excavation, Grading and Land Clearing",,,603291468,"DOLMAN, MATTHEW WILSON",O,OUT OF BUSINESS,
