official_type,license_suffix,firm_oriented,v1_include,notes
Dwelling Contractor,DC,yes,yes,1-2 family building permit credential — not commercial GC
Dwelling Contractor Restricted,DCR,yes,yes,Restricted dwelling-permit credential
Dwelling Contractor Qualifier,DCQ,no,no,Person qualifier required with DC/DCR; label as qualifier if loaded later
Electrical Contractor,EC,yes,yes,Firm electrical business license
HVAC Contractor,HVACCONT,yes,yes,Firm HVAC registration
HVAC Qualifier,HVACQ,no,no,Individual qualifier
Master Electrician,ME,no,no,Person credential
Master Plumber,PM,no,no,Person credential
Electrical Apprentice,EA,no,no,Exclude from consumer Verify
Journeyman Electrician,JE,no,no,Exclude from consumer Verify
Journeyman Plumber,PJ,no,no,Exclude from consumer Verify
Plumbing Apprentice,PA,no,no,Exclude from consumer Verify
Utility Contractor,UC,yes,no,Real contractor type; deferred past v1
Automatic Fire Sprinkler Contractor,AFSC,yes,no,Real contractor type; deferred past v1
